0.005,12.0
0.01,4.4
0.015,2.9
0.02,1.1
0.025,4.1
0.03,1.2
0.035,1.8
0.04,0.9
0.045,0.9
0.05,1.0
0.055,0.7
0.06,0.8
0.065,1.3
0.07,1.0
0.075,0.8
0.08,1.4
0.085,0.8
0.09,0.7
0.095,2.5
0.1,1.0
0.105,0.8
0.11,0.7
0.115,0.6
0.12,0.8
0.125,1.9
0.13,5.0
0.135,6.4
0.14,6.0
0.145,0.7
0.15,0.8
0.155,5.9
0.16,3.4
0.165,2.7
0.17,3.4
0.175,3.0
0.18,2.8
0.185,2.2
0.19,1.7
0.195,2.2
0.2,1.8
0.205,1.4
0.21,1.8
0.215,2.0
0.22,2.2
0.225,2.4
0.23,1.6
0.235,1.4
0.24,1.8
0.245,2.1
0.25,1.7
0.255,2.0
0.26,1.5
0.265,1.2
0.27,1.7
0.275,2.2
0.28,3.3
0.285,2.6
0.29,1.8
0.295,1.3
0.3,1.6
0.305,3.3
0.31,2.8
0.315,2.8
0.32,3.7
0.325,2.6
0.33,3.3
0.335,3.3
0.34,2.9
0.345,2.6
0.35,2.5
0.355,2.3
0.36,4.0
0.365,6.1
0.37,2.7
0.375,6.8
0.38,2.0
0.385,3.0
0.39,3.4
0.395,4.1
0.4,2.6
0.405,2.2
0.41,2.0
0.415,2.3
0.42,3.2
0.425,3.4
0.43,4.6
0.435,3.2
0.44,2.3
0.445,2.3
0.45,3.3
0.455,5.8
0.46,6.9
0.465,5.4
0.47,6.5
0.475,4.8
0.48,7.1
0.485,6.9
0.49,5.5
0.495,5.6
0.5,5.1
0.505,5.3
0.51,6.9
0.515,6.0
0.52,5.3
0.525,5.6
0.53,3.9
0.535,4.7
0.54,7.0
0.545,5.6
0.55,5.5
0.555,4.6
0.56,3.9
0.565,5.0
0.57,7.0
0.575,5.5
0.58,6.4
0.585,5.7
0.59,3.9
0.595,4.6
0.6,6.9
0.605,13.0
0.61,10.9
0.615,13.1
0.62,13.0
0.625,10.2
0.63,14.4
0.635,10.8
0.64,12.8
0.645,12.9
0.65,10.7
0.655,9.7
0.66,14.6
0.665,13.2
0.67,14.7
0.675,10.4
0.68,8.2
0.685,9.6
0.69,14.8
0.695,11.8
0.7,8.4
0.705,7.7
0.71,7.6
0.715,9.7
0.72,14.5
0.725,9.8
0.73,8.8
0.735,8.2
0.74,8.0
0.745,9.6
0.75,14.6
